id;subject_rf=='Курская область';name_full;name_short;name_employee;inn;orn;legal_address;actual_address;phone;email;site;count_mkd;area_total;w_summ
8921387;Курская область;"ООО ""Городская Управляющая Компания №1""(ИНН 4632198458)";ГУК №1;Александр Евгеньевич Лытнев;4632198458;1,14463E+12;г. Курск, ул. Бутко, д. 23/81, п. офис 101;г. Курск, ул. Станционная, д. 35;51-04-16;ski146@yandex.ru;гук1курск.рф;13;44576,95;33,5
8919862;Курская область;"ЖИЛИЩНЫЙ КООПЕРАТИВ ""МОЛОДЕЖНАЯ""";"ЖК ""МОЛОДЕЖНАЯ""";Елена Николаевна Корнаухова;4633036844;1,15463E+12;г. Железногорск, ул. Молодежная, д. 9, п. 86;г. Железногорск, ул. Молодежная, д. 9, п. 86;79191353590;elena.n.kornayhova@mail.ru;zk-molidez.ru;3;21725,48;32,5
8927088;Курская область;ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 140;ЖСК №140;ЕЛЕНА МИХАЙЛОВНА КУЛАБУХОВА;4632124872;1,10463E+12;г. Курск, ул. К.Воробьева, д. 15, п. 37;г. Курск, ул. К.Воробьева, д. 15, п. 37;8 919 272 34 55;;;1;5797,1;24,5
8767346;Курская область;Жилищно-строительный кооператив №144;ЖСК №144;Нина Степановна Деулина;4629014580;1,03464E+12;г. Курск, ул. Косухина, д. 36;г. Курск, ул. Косухина, д. 36;51-58-13, 52-22-96;kursk.zhsk.144@ya.ru;жск-144.вжкх.рф;1;5710,8;25,5
8920347;Курская область;ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ 145;ЖСК - 145;ЛИДИЯ НИКОЛАЕВНА РЯБОВА;4629014608;1,0246E+12;г. Курск, ул. Майский бульвар, д. 10;г. Курск, ул. Майский бульвар, д. 10;(4712)508819;formagkh@yandex.ru;;1;4547,1;35
8767402;Курская область;Жилищно-строительный кооператив №150;ЖСК № 150;Людмила Леонидовна Пушкарёва;4629027886;1,03464E+12;г. Курск, ул. Косухина, д. 34;г. Курск, ул. Косухина, д. 34;(4712)50-67-48;kursk.zhsk.150@ya.ru;жск-150-курск.вжкх.рф;1;5356;17
8914954;Курская область;Потребительский жилищно-строительный кооператив № 20;ЖСК № 20;Надежда Петровна Костенко;4630011471;1,0246E+12;г. Курск, ул. Конорева, д. 6;г. Курск, ул. Конорева, д. 6;89513274852;formagkh@yandex.ru;;1;3438,3;22,5
8914955;Курская область;Жилищно-строительный кооператив N 22;ЖСК-22;Надежда Петровна Костенко;4630012203;1,03464E+12;г. Курск, ул. Конорева, д. 10;г. Курск, ул. Конорева, д. 10;89513274852;formagkh@yandex.ru;;1;3451;21,5
8930506;Курская область;ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ N 26;ЖСК-26;ПАВЕЛ РОСТИСЛАВОВИЧ ЛЬВОВ;4629014100;1,03464E+12;г. Курск, ул. Энгельса, д. 115;г. Курск, ул. Энгельса, д. 115;8 910 218 49 50;;;1;3018,4;
8650556;Курская область;Жилищно-строительный кооператив №30;ЖСК 30;Мария Григорьевна Митрофанова;4629014140;1,03464E+12;г. Курск, ул. Фатежская 1-я, д. 82;г. Курск, ул. Фатежская 1-я, д. 82;509741;kurskjsk30@gmail.com;www.kurskadmin.ru;1;2878,2;22,5
8094335;Курская область;Жилищно-строительный кооператив №32;ЖСК №32;Анатолий Иванович Зацепилин;4631006763;1,03464E+12;г. Курск, ул. Краснознаменная, д. 18 А, п. 67;г. Курск, ул. Краснознаменная, д. 18 А, п. 67;4(712)267250;redflag18@yandex.ru;http://redflag18.narod.ru/;1;2831,2;21
8935972;Курская область;"Жилищно-строительный кооператив-47 ""Север""";"ЖСК-47""Север""";Елена Федоровна Погребная;4630011577;1,03464E+12;г. Курск, ул. Комарова, д. 13Б;г. Курск, ул. Комарова, д. 13Б;8 951 324 69 22;pogrebnaya_49@mail.ru;;1;6022,6;24
8915255;Курская область;Жилищно-строительный кооператив № 65;ЖСК -65;Нина Филипповна Дмитриева;4630011182;1,03464E+12;г. Курск, ул. Дейнеки, д. 20, п. 104;г. Курск, ул. Дейнеки, д. 20, п. 104;89510723602;formagkh@yandex.ru;;1;5745,6;28,5
8915252;Курская область;Жилищно-строительный кооператив - 67;ЖСК - 67;Нина Филипповна Дмитриева;4630014360;1,06463E+12;г. Курск, ул. Ольшанского, д. 8 В;г. Курск, ул. Ольшанского, д. 8 В;89510723602;formagkh@yandex.ru;;1;4425,3;26,5
8915253;Курская область;Жилищно-строительный кооператив № 68;ЖСК-68;Нина Филипповна Дмитриева;4630014056;1,03464E+12;г. Курск, ул. Заводская, д. 29 Б;г. Курск, ул. Заводская, д. 29 Б;89510723602;formagkh@yandex.ru;;1;4400;29
